,x,y,z
15129,0.04,0.02,1.0
14822,0.14,0.05,1.02
17142,0.1,0.13,1.05
257,0.03,0.03,1.0
15679,0.04,0.05,1.0
19536,0.09,0.16,0.94
13245,0.05,0.06,1.02
5663,0.04,0.03,1.0
795,0.04,0.03,1.0
3936,0.07,0.05,0.95
18013,0.04,0.02,1.0
13424,0.04,0.05,1.01
13535,0.03,0.06,1.02
2837,0.04,0.02,1.0
13202,0.04,0.05,1.0
5136,0.04,0.15000000000000002,0.93
6362,0.04,0.02,1.0
15483,0.04,0.05,1.0
16629,0.15,-0.09999999999999999,1.05
2198,0.05,0.020000000000000004,1.01
15088,0.13,-0.07,1.0
3118,0.04,0.03,1.0
13657,0.04,0.04,1.01
1045,0.04,0.03,1.0
17146,0.06,0.36,1.04
16220,0.04,0.04,1.01
6921,0.04,0.05,1.0
4832,0.04,0.04,1.0
5649,0.04,0.03,1.0
16475,0.04,0.06,1.01
1883,0.04,0.05,1.0
5296,0.04,0.05,1.01
10093,0.04,0.05,1.0
12102,0.04,0.03,1.0
1778,0.15,0.04,1.0
19480,0.26,0.16,1.05
16602,0.04,0.04,1.01
11949,0.04,0.03,1.0
13859,0.04,0.04,1.02
6462,0.0,0.11,1.0
9779,0.04,0.05,1.0
14086,0.04,0.03,1.0
19394,0.04,0.04,1.01
15355,0.04,0.05,1.0
13094,0.04,0.04,1.0
199,0.04,0.02,1.0
8538,0.04,0.03,1.0
555,0.01,0.04,1.02
5228,0.04,0.05,1.01
345,0.04,0.03,1.0
18858,0.04,0.05,1.0
12587,0.05,0.05,1.0
2240,-0.03,0.08,1.07
5270,0.03,0.04,1.01
15987,0.03,0.04,1.0
2158,0.04,0.04,1.01
14260,0.04,0.03,1.0
15164,0.04,0.03,1.0
3867,0.04,0.03,1.0
6389,0.03,0.05,1.04
832,0.04,0.02,1.0
12508,0.02,0.06,1.0
15277,0.09,0.06,0.94
12166,0.04,0.02,1.0
15641,0.15,0.03,1.04
12913,0.04,0.05,1.0
2458,0.04,0.05,1.01
13266,0.04,0.05,1.0
9660,0.01,0.04,0.99
360,0.08,0.11,1.05
12470,0.04,0.05,1.0
15713,0.04,0.04,1.0
9832,0.04,0.05,1.0
6403,0.04,0.02,1.0
10222,0.04,0.05,1.0
6769,0.02,0.02,1.02
18379,0.12,0.3,1.04
13303,0.09,0.06,1.14
5100,0.04,0.04,1.01
17200,0.04,0.02,1.0
19019,0.04,0.04,1.0
14279,0.0,,
14884,0.18,0.25,1.04
14638,0.04,0.03,1.0
9183,-0.16,0.0,1.0
6267,0.04,0.03,1.0
5078,0.04,0.05,1.01
18290,0.04,0.05,1.0
14905,0.04,0.03,1.0
16215,0.04,0.04,1.01
3199,0.04,0.02,1.0
17862,0.04,-0.06,0.95
18929,0.26,0.18,1.0
9615,0.04,0.02,1.0
4824,0.05,0.04,1.0
8018,0.15,0.15000000000000002,1.05
1510,0.03,0.05,1.0
2917,0.01,-0.18,0.96
11692,0.04,0.02,1.0
15084,0.14,-0.12,0.88
4393,0.04,0.05,1.0
3568,0.04,0.03,1.0
18910,0.04,0.05,1.0
14130,0.04,0.03,1.0
14155,-0.0,0.04,1.02
7343,0.04,0.05,1.0
17343,0.02,0.14,0.94
15137,0.11,0.2,0.85
2758,-0.04,-0.34,0.88
17938,0.04,0.02,1.0
16069,0.02,0.04,1.0
1714,0.04,0.05,1.0
8422,0.04,0.03,1.0
13381,0.04,0.05,1.0
7465,0.04,0.04,1.0
4286,0.04,0.04,1.0
11056,0.04,0.06,1.09
9644,-0.26,0.04,1.14
12695,0.23,0.1,0.95
16249,0.09,-0.20999999999999996,0.94
13902,0.03,0.21,1.01
5401,0.03,0.05,1.01
1256,-0.0,-0.01,1.16
17687,0.04,0.03,1.0
14235,0.06,0.04,1.0
14951,0.04,0.03,1.0
10787,0.04,0.05,1.0
2126,0.04,0.05,1.01
2680,0.04,0.02,1.0
16210,0.04,0.04,1.01
4184,0.03,0.04,1.0
1518,0.0,0.07,1.05
15083,0.16,-0.16,0.99
